,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
0,1000045,NICHOLAS FINANCIAL INC,8-K,2021-07-30,https://www.sec.gov/Archives/edgar/data/1000045/0001564590-21-039333.txt,False
1,1000045,NICHOLAS FINANCIAL INC,8-K,2021-09-02,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-21-001640.txt,False
2,1000045,NICHOLAS FINANCIAL INC,8-K,2021-09-02,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-21-001647.txt,False
3,1000045,NICHOLAS FINANCIAL INC,8-K,2021-09-30,https://www.sec.gov/Archives/edgar/data/1000045/0000950170-21-001953.txt,False
4,1000209,MEDALLION FINANCIAL CORP,8-K,2021-07-29,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-228358.txt,False
5,1000209,MEDALLION FINANCIAL CORP,8-K,2021-07-30,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-231490.txt,False
6,1000209,MEDALLION FINANCIAL CORP,8-K,2021-08-02,https://www.sec.gov/Archives/edgar/data/1000209/0001193125-21-233223.txt,False
7,1000228,HENRY SCHEIN INC,8-K,2021-08-03,https://www.sec.gov/Archives/edgar/data/1000228/0001000228-21-000058.txt,False
8,1000228,HENRY SCHEIN INC,8-K,2021-08-23,https://www.sec.gov/Archives/edgar/data/1000228/0001193125-21-253351.txt,True
9,1000229,CORE LABORATORIES N V,8-K,2021-07-28,https://www.sec.gov/Archives/edgar/data/1000229/0000950170-21-000572.txt,False
10,1000230,OPTICAL CABLE CORP,8-K,2021-09-14,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-21-022111.txt,False
11,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2021-07-19,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-21-093555.txt,False
12,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2021-08-12,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-21-104228.txt,False
13,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2021-09-10,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-21-114690.txt,False
14,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2021-09-21,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-21-117931.txt,False
15,1000298,IMPAC MORTGAGE HOLDINGS INC,8-K,2021-09-23,https://www.sec.gov/Archives/edgar/data/1000298/0001104659-21-118821.txt,False
16,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,8-K,2021-08-04,https://www.sec.gov/Archives/edgar/data/1000623/0001000623-21-000113.txt,False
17,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-07-06,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-035794.txt,False
18,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-08-02,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-039824.txt,True
19,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-08-12,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-041820.txt,False
20,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-08-16,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-043094.txt,False
21,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-08-23,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-044360.txt,False
22,1000683,BLONDER TONGUE LABORATORIES INC,8-K,2021-08-30,https://www.sec.gov/Archives/edgar/data/1000683/0001213900-21-045613.txt,True
23,1000694,NOVAVAX INC,8-K,2021-08-06,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-21-101502.txt,False
24,1000694,NOVAVAX INC,8-K,2021-08-18,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-21-107375.txt,False
25,1000694,NOVAVAX INC,8-K,2021-08-20,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-21-108232.txt,False
26,1000694,NOVAVAX INC,8-K,2021-09-09,https://www.sec.gov/Archives/edgar/data/1000694/0001104659-21-114064.txt,False
27,1000697,WATERS CORP /DE/,8-K,2021-08-03,https://www.sec.gov/Archives/edgar/data/1000697/0001193125-21-233987.txt,False
28,1000697,WATERS CORP /DE/,8-K,2021-09-20,https://www.sec.gov/Archives/edgar/data/1000697/0001193125-21-277197.txt,True
29,1000753,"INSPERITY, INC.",8-K,2021-08-02,https://www.sec.gov/Archives/edgar/data/1000753/0001000753-21-000036.txt,False
30,1001082,DISH Network CORP,8-K,2021-07-19,https://www.sec.gov/Archives/edgar/data/1001082/0001001082-21-000019.txt,False
31,1001115,GEOSPACE TECHNOLOGIES CORP,8-K,2021-07-22,https://www.sec.gov/Archives/edgar/data/1001115/0001193125-21-221479.txt,False
32,1001115,GEOSPACE TECHNOLOGIES CORP,8-K,2021-08-06,https://www.sec.gov/Archives/edgar/data/1001115/0001193125-21-238870.txt,False
33,1001171,BROADWAY FINANCIAL CORP \DE\,8-K,2021-08-17,https://www.sec.gov/Archives/edgar/data/1001171/0001140361-21-028538.txt,False
